Flight | Gate | Time
1461   | 20   | 06:00
399    | 6    | 06:06
854    | 22   | 06:20
2261   | 15   | 06:55
1047   | 4    | 06:57
1935   | 18   | 07:05
2724   | 2    | 07:14
1832   | 20   | 07:40
1052   | 14   | 08:00
2129   | 10   | 08:50
1915   | 3    | 08:55
2226   | 19   | 08:55
1881   | 21   | 08:55
611    | 1    | 09:04
2121   | 17   | 09:06
2262   | 9    | 09:17
2745   | 18   | 09:35
1046   | 2    | 10:05
648    | 22   | 10:05
2655   | 8    | 10:15
2651   | 20   | 11:00
2238   | 3    | 11:16
2119   | 19   | 11:16
171    | 6    | 11:30
2125   | 21   | 11:36
1186   | 22   | 12:28
121    | 4    | 12:50
2264   | 17   | 12:50
2225   | 18   | 12:50
733    | 14   | 12:55
1048   | 2    | 12:59
1542   | 20   | 14:21
1036   | 14   | 14:56
2114   | 21   | 14:58
643    | 19   | 15:23
308    | 22   | 15:28
160    | 9    | 16:30
1028   | 15   | 16:41
1476   | 2    | 16:55
10     | 4    | 18:05
2607   | 9    | 18:10
942    | 20   | 18:15
2385   | 15   | 18:20
2931   | 10   | 18:36
2145   | 17   | 18:45
2246   | 18   | 18:50
1683   | 21   | 18:59
2268   | 22   | 19:10
1484   | 2    | 19:48
1051   | 19   | 20:00
1032   | 14   | 20:18
1144   | 9    | 20:45
1469   | 4    | 21:03
1356   | 6    | 21:09
2967   | 17   | 21:20
2146   | 20   | 21:40
2103   | 18   | 21:50
1599   | 9    | 21:55
2295   | 14   | 22:05
